2025-10-15 00:31:32.101 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-10-15 00:31:32.137 [main] INFO  c.e.r.a.s.p.BookStoreServiceSolutionApplication - Starting BookStoreServiceSolutionApplication using Java 21.0.8 with PID 9140 (E:\java epam\book-store-service-task\target\classes started by user in E:\java epam\book-store-service-task)
2025-10-15 00:31:32.137 [main] INFO  c.e.r.a.s.p.BookStoreServiceSolutionApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-15 00:31:32.769 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-10-15 00:31:32.836 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 60 ms. Found 7 JPA repository interfaces.
2025-10-15 00:31:33.557 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-10-15 00:31:33.568 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-10-15 00:31:33.571 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-10-15 00:31:33.571 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.17]
2025-10-15 00:31:33.629 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-10-15 00:31:33.629 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1460 ms
2025-10-15 00:31:33.791 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-10-15 00:31:33.852 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2025-10-15 00:31:33.882 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-10-15 00:31:34.084 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-10-15 00:31:34.108 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-10-15 00:31:34.246 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@6f52a229
2025-10-15 00:31:34.247 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-10-15 00:31:35.482 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-10-15 00:31:35.617 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-10-15 00:31:36.294 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-10-15 00:31:37.024 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-10-15 00:31:37.370 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1bae8e5e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@352bccf, org.springframework.security.web.context.SecurityContextHolderFilter@992f314, org.springframework.security.web.header.HeaderWriterFilter@66beb02d, org.springframework.web.filter.CorsFilter@70d3e710, org.springframework.security.web.authentication.logout.LogoutFilter@5a1f4fa4, com.epam.rd.autocode.spring.project.security.JwtAuthenticationFilter@740b9a50, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2a38b5c7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@35283b74, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@732d2b59, org.springframework.security.web.session.SessionManagementFilter@74cf0dd9, org.springframework.security.web.access.ExceptionTranslationFilter@4da454a7, org.springframework.security.web.access.intercept.AuthorizationFilter@1be598c]
2025-10-15 00:31:37.701 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-10-15 00:31:37.716 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-10-15 00:31:37.723 [main] INFO  c.e.r.a.s.p.BookStoreServiceSolutionApplication - Started BookStoreServiceSolutionApplication in 6.324 seconds (process running for 7.291)
2025-10-15 00:31:41.689 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-10-15 00:31:41.689 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-15 00:31:41.690 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-10-15 00:52:14.948 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-10-15 00:52:14.950 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-10-15 00:52:14.957 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
